mag_x (uT),mag_y (uT),mag_z (uT)
3.269748657276988268e+01,5.112516246264794256e-03,3.779552524774059918e+01
3.270009868879404280e+01,1.883224719221717608e-02,3.777737603558955470e+01
3.269631008692669383e+01,-7.418422577096791398e-03,3.777229076509836858e+01
3.269983846810944073e+01,-4.256260613430401518e-03,3.776388940571121822e+01
3.267658433742597879e+01,1.045945413042467451e-02,3.780405750000339538e+01
3.271082892079392934e+01,-4.144671230054443323e-03,3.778311456094164100e+01
3.268409694397358578e+01,-9.740904977000884590e-03,3.779787969476358711e+01
3.267945744084487103e+01,1.047201088849974114e-02,3.777492937439384235e+01
3.269811052541055574e+01,1.855101642159767347e-02,3.778740388146727724e+01
3.269244418323595625e+01,1.264335292440213650e-02,3.777525755255627615e+01
3.271285219114131593e+01,4.916648241449596453e-03,3.778002841105740828e+01
3.268353887341021391e+01,-3.946267119529515456e-03,3.777578694576817497e+01
3.267747497508999999e+01,1.639717577840781038e-02,3.780035720361671991e+01
3.271137439091850041e+01,-3.205542496453675071e-03,3.778682397154182127e+01
3.270660456433639496e+01,1.718738768838664862e-03,3.776356239347295229e+01
3.269174364741935079e+01,7.356405814738366938e-03,3.777979172892727178e+01
3.267471788525903520e+01,4.846939018701385687e-03,3.779778800810773021e+01
3.268915169678417243e+01,-6.821637537446969927e-03,3.779352613717252751e+01
